order_id,customer_id,order_date,ship_state,payment_method,device,coupon_applied,order_status,order_value
O000030,C01096,2025-05-19 03:59:00,Andhra Pradesh,COD,Android,0,delivered,8938.5
O000031,C00365,2025-06-29 11:48:40,Gujarat,NetBanking,Android,0,delivered,3663.34
O000032,C01974,2024-10-24 08:00:33,Tamil Nadu,Card,Android,0,delivered,5344.49
O000033,C00795,2024-07-01 15:53:47,Uttar Pradesh,NetBanking,Android,1,delivered,13030.46
O000034,C01359,2024-09-17 07:15:39,Odisha,Card,Android,1,delivered,7099.88
O000035,C00652,2024-08-04 15:06:09,West Bengal,COD,Android,0,delivered,4003.67
O000036,C01775,2025-06-11 07:34:29,Punjab,UPI,Web,0,delivered,1019.2
O000037,C00590,2025-01-05 23:06:58,Tamil Nadu,COD,Android,1,delivered,5334.9
O000038,C00199,2025-04-25 04:07:52,Assam,COD,Android,0,delivered,5136.98
O000039,C00017,2024-06-15 12:17:20,West Bengal,COD,Android,0,delivered,1680.87
O000040,C00218,2024-09-11 08:03:23,Odisha,COD,Android,1,delivered,5935.52
O000041,C00741,2025-04-14 09:46:42,Andhra Pradesh,NetBanking,Android,0,delivered,3167.14
O000042,C01876,2024-12-07 11:41:59,Jharkhand,UPI,Android,1,delivered,5825.21
O000043,C00650,2025-02-10 11:15:59,Jharkhand,UPI,Android,0,delivered,6124.66
O000044,C00147,2024-04-21 21:13:07,Telangana,COD,Android,0,delivered,5767.27
O000045,C01234,2025-05-16 14:55:51,Assam,Card,Android,0,returned,3216.79
O000046,C00670,2025-07-18 20:55:53,Madhya Pradesh,UPI,Android,0,delivered,4929.53
O000047,C01438,2024-01-21 18:11:19,Gujarat,Card,Web,0,delivered,5092.76
O000048,C00665,2025-04-25 02:54:23,Jharkhand,Card,Android,0,delivered,9170.92
O000049,C00856,2025-01-22 04:26:07,Rajasthan,UPI,Android,1,delivered,5056.43
O000050,C00330,2025-01-17 21:54:08,Punjab,Card,Android,0,delivered,5926.62
O000051,C00895,2024-04-18 15:21:38,Tamil Nadu,UPI,Android,0,delivered,5462.69
O000052,C01986,2024-05-30 10:24:00,Kerala,COD,Android,0,delivered,1628.76
O000053,C01894,2024-08-19 21:57:05,Andhra Pradesh,UPI,Web,1,delivered,4812.65
O000054,C01376,2024-09-13 04:22:26,Maharashtra,Card,Android,0,cancelled,7798.67
O000055,C01187,2024-09-18 01:56:12,Haryana,COD,iOS,1,delivered,2829.62
O000056,C01843,2025-02-20 13:54:22,West Bengal,UPI,Android,0,delivered,3407.97
O000057,C00101,2025-07-08 11:38:34,Chhattisgarh,COD,Android,0,delivered,3528.46
O000058,C00327,2024-04-28 12:20:11,Telangana,UPI,Android,0,returned,1417.66
O000059,C00327,2024-07-11 08:32:36,Telangana,COD,Android,0,delivered,1656.2
O000060,C01179,2025-05-26 08:32:20,Haryana,Card,Android,0,delivered,1941.65
O000061,C00010,2025-05-15 20:04:57,Tamil Nadu,UPI,Android,0,delivered,4849.09
O000062,C00353,2025-02-25 14:47:50,Andhra Pradesh,COD,Android,0,delivered,7826.83
O000063,C01963,2024-11-09 03:33:12,Kerala,UPI,Android,0,delivered,4135.0
O000064,C00183,2024-01-18 18:20:18,Haryana,NetBanking,Android,0,delivered,2691.46
O000065,C00455,2024-09-25 10:59:29,Jharkhand,UPI,Android,0,delivered,2216.62
O000066,C01670,2024-12-02 06:32:48,Gujarat,UPI,Android,0,delivered,1691.51
O000067,C00006,2025-07-16 21:09:50,Jammu & Kashmir,NetBanking,Web,0,delivered,11381.47
O000068,C01357,2024-09-19 20:06:23,Bihar,UPI,Android,0,delivered,843.98
O000069,C01968,2024-08-30 20:12:31,Karnataka,COD,iOS,0,delivered,3661.23
O000070,C01357,2025-01-24 02:06:17,Bihar,NetBanking,iOS,1,delivered,1000.5
O000071,C01282,2025-04-16 07:51:49,Assam,UPI,Web,1,delivered,2499.86
O000072,C00211,2024-07-10 00:00:44,Haryana,UPI,Android,0,delivered,5801.67
O000073,C00051,2025-07-29 23:02:58,Karnataka,UPI,Android,0,delivered,5019.12
O000074,C01469,2024-01-20 01:35:06,Gujarat,COD,Android,0,delivered,1753.46
O000075,C01683,2025-04-16 12:45:21,Telangana,UPI,iOS,0,delivered,2391.62
O000076,C01010,2024-06-27 20:47:13,Bihar,COD,iOS,0,returned,6074.83
O000077,C00377,2024-09-09 14:27:15,Punjab,UPI,Android,0,delivered,4125.37
O000078,C00640,2024-10-11 12:03:28,West Bengal,UPI,Android,0,delivered,1846.69
O000079,C01510,2024-09-12 12:02:13,West Bengal,UPI,Android,0,returned,3264.91
O000080,C00770,2024-04-09 16:17:14,Punjab,UPI,Android,0,delivered,6655.08
O000081,C01075,2024-12-04 08:32:04,Punjab,UPI,Android,1,returned,6761.04
O000082,C00154,2025-07-13 09:15:37,Punjab,UPI,iOS,0,delivered,2669.66
O000083,C00582,2024-05-27 04:45:44,Tamil Nadu,Wallet,Android,1,delivered,2272.72
O000084,C00788,2024-04-30 14:04:01,Haryana,UPI,Android,0,delivered,5182.65
O000085,C00791,2025-03-06 19:17:12,Assam,Card,Android,0,cancelled,805.29
O000086,C01334,2025-02-15 05:34:16,Jharkhand,COD,Android,0,delivered,2354.55
O000087,C01423,2024-07-24 14:06:01,Chhattisgarh,UPI,Android,0,delivered,2153.8
O000088,C00134,2024-08-14 15:59:36,Chhattisgarh,Card,iOS,0,delivered,1705.01
O000089,C00220,2025-07-04 23:01:35,Telangana,COD,Android,0,delivered,2632.9
O000090,C00163,2024-11-01 10:43:21,Chhattisgarh,COD,Android,1,delivered,4574.26
O000091,C00971,2025-02-20 23:44:35,Chhattisgarh,UPI,Android,0,delivered,2493.91
O000092,C00648,2024-07-05 10:03:00,Bihar,UPI,Android,0,delivered,5152.49
O000093,C00569,2025-01-03 02:27:03,Odisha,COD,Android,1,delivered,3197.23
O000094,C01526,2025-06-29 04:43:57,Chhattisgarh,UPI,Android,1,delivered,1849.44
O000095,C00946,2024-12-31 16:08:32,Haryana,COD,Android,0,delivered,4638.67
O000096,C00689,2024-07-08 08:32:15,Assam,COD,Android,0,delivered,2555.02
O000097,C00115,2025-01-13 15:39:05,Karnataka,UPI,Android,0,cancelled,3498.9
O000098,C01523,2025-04-10 13:33:36,Rajasthan,NetBanking,Android,0,delivered,3757.72
O000099,C01496,2024-05-10 06:26:49,Madhya Pradesh,UPI,Android,0,delivered,1753.14
O000100,C01173,2024-05-24 01:24:21,Punjab,UPI,Android,1,delivered,11080.76
O000101,C01265,2025-01-28 07:18:12,Rajasthan,Card,Android,0,delivered,3239.34
O000102,C00123,2025-04-03 07:23:52,Odisha,UPI,Android,0,delivered,6573.07
O000103,C00804,2024-07-02 15:29:08,Maharashtra,NetBanking,Android,0,delivered,4394.78
O000104,C00839,2025-04-04 08:21:59,Gujarat,COD,iOS,0,delivered,5682.79
O000105,C01093,2024-08-13 03:47:03,Delhi,COD,Android,1,delivered,4052.18
O000106,C00826,2024-01-08 01:59:32,Bihar,COD,Android,0,delivered,3704.69
O000107,C00063,2024-12-26 23:37:27,Bihar,UPI,iOS,0,delivered,3366.39
O000108,C00733,2024-11-18 19:22:22,Jharkhand,COD,iOS,1,delivered,5218.36
O000109,C01040,2024-11-08 04:06:31,Assam,Card,iOS,0,delivered,5019.76
O000110,C01414,2024-08-17 14:15:32,Chhattisgarh,UPI,Android,1,delivered,1909.05
O000111,C00590,2025-06-26 01:47:48,Tamil Nadu,UPI,Android,1,delivered,1923.92
O000112,C01658,2024-01-25 15:56:35,Andhra Pradesh,COD,Android,1,returned,11166.2
O000113,C00948,2025-01-11 09:24:49,Delhi,UPI,iOS,0,returned,6557.67
O000114,C01282,2024-07-28 18:29:41,Assam,COD,Android,1,cancelled,2174.64
O000115,C00217,2025-02-21 21:43:42,Delhi,COD,iOS,1,delivered,889.79
O000116,C00479,2024-05-16 01:34:56,Madhya Pradesh,UPI,Android,1,delivered,4125.53
O000117,C01138,2025-04-04 22:48:38,West Bengal,COD,Android,0,delivered,2866.52
O000118,C01906,2024-09-17 13:11:50,Assam,UPI,Android,0,delivered,2386.18
O000119,C01997,2024-10-16 16:14:47,Telangana,UPI,Android,1,cancelled,4135.42
O000120,C01404,2024-01-20 08:59:49,Odisha,NetBanking,iOS,0,delivered,4620.29
O000121,C01682,2025-05-26 23:37:55,Tamil Nadu,UPI,Android,0,delivered,5902.36
O000122,C00977,2024-10-18 00:05:13,Jammu & Kashmir,COD,iOS,0,delivered,6550.7
O000123,C00237,2024-09-06 07:19:53,Bihar,COD,iOS,0,delivered,10354.3
O000124,C00476,2025-04-08 05:24:27,Haryana,COD,Android,1,delivered,4147.02
O000125,C01996,2024-03-07 04:59:56,Jammu & Kashmir,UPI,Android,0,delivered,4982.32
O000126,C01955,2025-02-11 10:11:58,Delhi,NetBanking,iOS,1,cancelled,1606.53
O000127,C00598,2024-01-26 16:59:30,Chhattisgarh,Card,Android,0,returned,5484.43
O000128,C01703,2024-06-03 18:22:40,Punjab,COD,Android,0,cancelled,270.84
O000129,C00129,2024-04-29 18:24:12,Telangana,UPI,iOS,0,delivered,3323.34
O000130,C00510,2025-07-16 08:38:25,Uttar Pradesh,NetBanking,Android,0,delivered,7613.74
O000131,C00165,2024-08-17 10:49:03,West Bengal,Card,Android,1,delivered,5389.25
O000132,C00277,2024-08-11 18:54:22,Rajasthan,COD,Android,1,delivered,2421.14
O000133,C00257,2024-12-02 18:27:22,Chhattisgarh,UPI,Android,1,returned,3218.85
O000134,C01156,2025-02-10 11:37:08,Kerala,UPI,Android,0,delivered,9076.44
O000135,C00992,2025-03-12 10:36:17,Assam,UPI,Android,0,delivered,4070.53
O000136,C00570,2025-04-15 00:29:46,Telangana,UPI,Android,0,delivered,8137.29
O000137,C01281,2024-05-31 16:56:47,Kerala,UPI,Android,1,delivered,5976.72
O000138,C00141,2024-05-05 06:44:46,Jammu & Kashmir,Card,iOS,0,cancelled,2544.99
O000139,C00686,2025-04-01 08:22:48,Odisha,COD,Android,0,delivered,1347.02
O000140,C00687,2024-01-04 06:47:35,Jharkhand,UPI,iOS,1,delivered,2128.51
O000141,C01233,2024-09-22 18:25:11,Bihar,COD,Android,0,delivered,564.64
O000142,C00716,2024-12-16 10:03:13,Karnataka,UPI,iOS,1,returned,2714.26
O000143,C01023,2025-05-08 14:13:34,Maharashtra,COD,iOS,1,delivered,2942.31
O000144,C01543,2024-11-09 16:44:52,Uttar Pradesh,UPI,Android,0,delivered,2143.27
O000145,C01075,2025-02-03 06:41:22,Punjab,UPI,Android,1,delivered,2447.73
O000146,C01527,2024-04-22 04:06:33,Punjab,UPI,Web,0,delivered,2433.41
O000147,C01283,2024-10-13 18:57:12,Odisha,COD,Android,1,returned,2582.25
O000148,C00178,2024-04-20 10:51:33,Telangana,UPI,Android,0,cancelled,1149.12
O000149,C00922,2025-04-30 02:08:28,Delhi,COD,Android,0,delivered,1606.83
O000150,C00543,2024-03-11 01:07:51,Haryana,NetBanking,Android,1,delivered,1897.34
O000151,C01380,2024-03-30 01:20:36,Karnataka,COD,Web,0,cancelled,1100.25
O000152,C01342,2025-04-29 11:09:00,Kerala,COD,Android,0,delivered,7309.96
O000153,C01690,2025-07-27 03:52:26,Odisha,Card,Android,0,delivered,3312.84
O000154,C00963,2024-10-22 22:43:57,Rajasthan,UPI,Android,0,delivered,2595.01
O000155,C00364,2025-02-19 13:13:11,Tamil Nadu,UPI,Android,1,delivered,3673.71
O000156,C01079,2024-02-19 05:40:31,Kerala,Card,iOS,0,delivered,682.28
O000157,C01180,2024-03-20 22:25:01,Jharkhand,NetBanking,Android,0,delivered,10638.08
O000158,C01068,2025-03-15 13:35:55,Tamil Nadu,UPI,Web,0,delivered,5934.18
O000159,C00593,2024-06-04 05:30:44,Jharkhand,Card,Android,0,delivered,5423.13
O000160,C01702,2024-05-10 10:17:04,Uttar Pradesh,UPI,Android,1,cancelled,230.5
O000161,C00542,2024-05-28 07:07:34,Tamil Nadu,NetBanking,Android,0,delivered,5222.0
O000162,C00322,2025-07-21 14:28:34,Assam,UPI,Android,1,delivered,2047.65
O000163,C00648,2024-03-29 11:01:10,Bihar,UPI,Android,1,cancelled,5491.6
O000164,C00014,2025-05-20 15:59:48,Maharashtra,COD,Android,0,delivered,2327.28
O000165,C01381,2024-01-30 10:41:31,West Bengal,Card,Android,0,delivered,1903.94
O000166,C01507,2025-05-23 15:41:29,Odisha,Wallet,Android,1,delivered,6263.51
O000167,C00618,2024-09-28 07:55:16,Chhattisgarh,Card,Android,0,delivered,3234.83
O000168,C00359,2025-04-23 19:27:17,Rajasthan,COD,Android,0,delivered,5198.22
O000169,C01342,2024-02-26 18:00:06,Kerala,COD,iOS,0,delivered,5258.59
O000170,C01099,2024-05-27 05:09:46,Jammu & Kashmir,UPI,Android,0,delivered,3837.57
O000171,C01983,2024-12-20 11:58:03,Haryana,UPI,Android,0,delivered,5798.11
O000172,C01615,2024-12-12 07:39:25,Karnataka,COD,Android,1,delivered,6058.95
O000173,C00194,2025-05-24 09:01:50,Bihar,COD,iOS,1,delivered,4397.09
O000174,C00363,2024-10-01 18:19:07,West Bengal,NetBanking,Android,1,delivered,715.15
O000175,C01120,2024-11-07 22:54:43,Assam,UPI,Android,1,delivered,2661.21
O000176,C01064,2024-07-24 23:54:40,Kerala,COD,Android,0,returned,3829.2
O000177,C00768,2024-04-05 12:52:54,Kerala,NetBanking,Android,1,delivered,4555.11
O000178,C00397,2025-07-14 15:02:41,Jammu & Kashmir,UPI,Android,0,delivered,4825.84
O000179,C00107,2024-09-01 23:46:30,Maharashtra,COD,Android,0,delivered,4127.39
O000180,C01041,2024-10-09 01:53:25,Madhya Pradesh,COD,Android,0,delivered,2322.45
O000181,C00527,2024-06-09 22:42:11,Kerala,Card,Android,1,delivered,790.8
O000182,C01953,2025-06-13 06:00:15,Delhi,UPI,Android,1,delivered,2141.65
O000183,C01011,2024-03-24 05:09:30,Madhya Pradesh,UPI,Android,0,delivered,3163.89
O000184,C00784,2025-05-31 01:09:37,Maharashtra,UPI,Android,1,returned,4767.55
O000185,C01523,2024-02-01 03:49:19,Rajasthan,NetBanking,Android,0,delivered,1064.24
O000186,C00525,2024-01-30 01:27:11,Punjab,UPI,Android,0,delivered,4240.41
O000187,C01783,2025-01-23 22:18:46,Bihar,COD,iOS,0,cancelled,7512.68
O000188,C01750,2024-07-25 12:14:48,Gujarat,COD,Android,0,delivered,2128.67
O000189,C01687,2024-02-03 11:18:58,Jammu & Kashmir,COD,iOS,1,delivered,1934.54
O000190,C01828,2024-02-11 04:00:56,Punjab,UPI,Android,0,delivered,590.19
O000191,C01067,2025-04-02 03:40:20,Delhi,UPI,Android,1,delivered,5847.31
O000192,C01970,2024-11-15 12:26:56,Delhi,UPI,Android,1,cancelled,2527.36
O000193,C00626,2025-02-17 10:44:48,Bihar,Card,Android,0,delivered,4922.34
O000194,C01866,2024-12-12 03:52:47,Madhya Pradesh,COD,Android,0,delivered,1002.87
O000195,C01617,2025-04-14 03:33:34,Jharkhand,NetBanking,iOS,0,delivered,315.55
O000196,C00350,2024-05-11 18:42:20,Madhya Pradesh,COD,Web,0,delivered,6525.02
O000197,C01677,2024-09-01 21:19:34,Maharashtra,UPI,iOS,0,delivered,1955.92
O000198,C01054,2025-03-18 03:54:42,Jharkhand,UPI,Android,1,delivered,2003.68
O000199,C01465,2024-09-19 15:34:47,Haryana,UPI,Android,0,delivered,4424.46
O000200,C01006,2025-06-15 04:12:06,Uttar Pradesh,Wallet,Android,1,delivered,5879.33
O000201,C00542,2024-03-01 14:51:24,Tamil Nadu,COD,Web,0,delivered,7077.89
O000202,C01479,2024-10-21 16:29:35,Madhya Pradesh,COD,Android,0,delivered,13948.49
O000203,C01802,2024-04-03 14:37:42,Maharashtra,NetBanking,Android,0,delivered,3716.8
O000204,C01635,2024-12-06 06:29:20,Uttar Pradesh,COD,iOS,1,delivered,3279.14
O000205,C00962,2025-01-11 14:41:35,Telangana,Card,Android,1,cancelled,4717.5
O000206,C00094,2024-05-19 04:21:52,Bihar,UPI,iOS,0,delivered,6122.21
O000207,C01747,2024-06-23 17:46:23,Delhi,Card,Android,0,cancelled,982.84
O000208,C01319,2024-06-07 04:18:37,Madhya Pradesh,Wallet,Android,1,delivered,1755.89
O000209,C01573,2024-04-24 10:42:25,Chhattisgarh,UPI,Android,0,returned,7131.41
O000210,C00899,2025-04-09 19:21:30,Madhya Pradesh,COD,Android,0,delivered,3026.65
O000211,C00089,2024-09-15 03:12:52,Maharashtra,NetBanking,Android,0,returned,2883.98
O000212,C01954,2024-04-15 19:49:19,Odisha,COD,Android,1,delivered,1436.61
O000213,C00503,2024-01-29 03:26:48,Bihar,UPI,Android,1,delivered,3273.89
O000214,C00767,2025-05-01 21:33:05,Karnataka,Card,Android,0,cancelled,5181.49
O000215,C00214,2024-07-31 06:47:35,Jammu & Kashmir,COD,Web,0,delivered,3955.98
O000216,C01446,2024-05-13 11:22:48,West Bengal,COD,Android,1,delivered,11887.49
O000217,C00526,2025-04-12 13:56:47,Uttar Pradesh,UPI,Android,0,delivered,5382.7
O000218,C00192,2025-07-21 03:11:51,Jharkhand,UPI,iOS,1,delivered,2444.73
O000219,C01831,2024-02-12 06:56:13,Andhra Pradesh,Wallet,iOS,0,delivered,2623.29
O000220,C00694,2024-08-27 12:09:48,Delhi,COD,Android,0,returned,705.88
O000221,C00642,2024-06-24 21:53:07,Chhattisgarh,Card,iOS,0,delivered,3515.4
O000222,C01248,2024-03-03 11:20:17,Odisha,COD,Android,0,delivered,741.87
O000223,C00555,2024-07-16 13:16:05,Odisha,Card,Android,0,delivered,4193.87
O000224,C01717,2024-01-10 22:37:02,Kerala,UPI,Web,0,delivered,2922.66
O000225,C00387,2025-04-19 19:17:53,Haryana,UPI,Web,0,delivered,7773.33
O000226,C00681,2025-04-27 09:54:48,Karnataka,UPI,Android,1,delivered,283.44
O000227,C00776,2025-05-23 22:07:25,Jharkhand,UPI,Android,1,delivered,6629.48
O000228,C01498,2024-03-12 10:05:52,Karnataka,COD,Android,0,returned,2518.45
O000229,C01632,2025-03-16 04:31:55,Odisha,COD,iOS,0,delivered,4619.82
O000230,C00203,2024-01-21 16:15:26,Jharkhand,UPI,iOS,0,delivered,6771.02
O000231,C01010,2024-12-13 05:00:42,Bihar,UPI,Android,0,delivered,7724.58
O000232,C00447,2025-02-09 11:33:06,Tamil Nadu,UPI,Web,0,delivered,3262.34
O000233,C01857,2024-03-04 03:01:39,Uttar Pradesh,UPI,Android,0,delivered,1045.85
O000234,C01871,2025-02-09 04:53:38,Bihar,COD,Android,0,delivered,7297.84
O000235,C00900,2024-06-01 20:42:39,Andhra Pradesh,UPI,Android,0,returned,8273.36
O000236,C01092,2024-07-08 10:32:31,Delhi,Card,Android,0,returned,1619.22
O000237,C01116,2024-11-30 20:42:04,Telangana,COD,Web,0,delivered,8376.51
O000238,C00778,2024-03-01 06:57:48,Assam,NetBanking,Android,0,cancelled,486.94
O000239,C01867,2024-08-22 23:46:45,Andhra Pradesh,UPI,Android,0,delivered,8955.52
O000240,C00178,2024-10-29 10:38:01,Telangana,Card,Android,0,delivered,8393.69
O000241,C01687,2025-04-28 01:08:44,Jammu & Kashmir,COD,Android,0,delivered,185.71
O000242,C00829,2024-09-19 22:41:34,Kerala,UPI,Android,0,delivered,1894.41
O000243,C00559,2024-02-14 21:50:21,Jammu & Kashmir,UPI,Android,0,delivered,6723.79
O000244,C01027,2024-08-18 16:53:44,Bihar,NetBanking,Android,0,cancelled,5651.87
O000245,C00103,2025-06-22 18:56:15,Chhattisgarh,UPI,Android,0,delivered,3602.63
O000246,C01297,2025-01-09 05:08:08,Andhra Pradesh,UPI,Android,0,delivered,2678.23
O000247,C01558,2025-07-14 16:39:50,Gujarat,UPI,Android,0,delivered,3945.03
O000248,C00116,2024-02-11 20:34:06,Karnataka,UPI,Android,0,delivered,3198.47
O000249,C00859,2025-01-03 22:25:36,Uttar Pradesh,UPI,Android,1,returned,2203.77
O000250,C01936,2024-04-22 16:43:16,Chhattisgarh,COD,Android,1,delivered,5105.92
O000251,C00464,2024-10-03 15:01:13,Chhattisgarh,COD,Android,0,returned,1252.35
O000252,C00104,2024-04-04 01:06:34,Gujarat,COD,Android,0,delivered,722.26
O000253,C00259,2025-07-21 22:16:37,Jharkhand,UPI,Android,0,delivered,5815.05
O000254,C01332,2024-12-14 05:19:33,Tamil Nadu,UPI,iOS,0,delivered,4818.54
O000255,C01391,2024-12-02 18:38:28,Madhya Pradesh,UPI,Android,1,returned,7206.24
O000256,C00929,2024-10-03 20:54:29,Jharkhand,Wallet,Android,0,delivered,7210.83
O000257,C00810,2024-05-29 01:43:40,Haryana,UPI,Android,1,cancelled,3805.13
O000258,C00642,2024-02-11 13:03:57,Chhattisgarh,Wallet,Android,0,delivered,7026.42
O000259,C00807,2024-09-04 13:49:20,Kerala,UPI,Android,1,cancelled,2630.04
O000260,C01023,2024-08-14 18:51:12,Maharashtra,COD,Android,0,returned,1260.84
O000261,C01326,2025-04-02 16:42:00,Tamil Nadu,COD,iOS,1,delivered,3512.13
O000262,C00560,2024-07-16 18:37:01,Maharashtra,UPI,Android,1,delivered,4108.33
O000263,C00027,2024-08-11 05:14:15,Delhi,COD,Android,1,delivered,3826.94
O000264,C00508,2024-02-12 20:39:18,Karnataka,COD,Android,0,delivered,3495.56
O000265,C00527,2025-02-17 03:31:53,Kerala,COD,Android,0,delivered,5256.04
O000266,C00775,2025-04-25 22:27:49,Karnataka,NetBanking,Android,1,delivered,2413.0
O000267,C01389,2025-06-25 18:03:52,Odisha,UPI,iOS,0,delivered,3741.37
O000268,C00953,2025-01-29 18:33:53,Chhattisgarh,COD,Android,1,delivered,1012.86
O000269,C00298,2025-07-25 07:47:26,Jharkhand,UPI,Web,0,delivered,4321.97
O000270,C00777,2024-07-07 08:59:47,Kerala,UPI,Android,0,delivered,1136.94
O000271,C00361,2024-06-06 09:38:45,Bihar,UPI,iOS,1,delivered,3822.56
O000272,C01670,2024-09-11 13:23:18,Gujarat,UPI,Android,0,delivered,6635.2
O000273,C00504,2024-08-22 15:34:14,Kerala,UPI,iOS,1,delivered,2398.9
O000274,C01977,2024-12-17 05:02:53,Karnataka,COD,Android,0,delivered,869.36
O000275,C00588,2025-06-12 09:53:23,West Bengal,COD,Android,1,delivered,4617.28
O000276,C00030,2024-06-21 06:23:42,Delhi,Wallet,Android,0,cancelled,402.33
O000277,C01463,2024-08-15 21:33:43,Jammu & Kashmir,COD,Android,0,cancelled,6244.05
O000278,C01364,2024-10-30 14:41:56,Tamil Nadu,COD,Android,0,delivered,5550.16
O000279,C00126,2025-03-11 12:50:28,Karnataka,UPI,iOS,0,delivered,5213.32
O000280,C00596,2024-06-03 16:04:57,West Bengal,UPI,Android,0,delivered,1178.13
O000281,C01590,2025-04-16 10:10:56,Delhi,Card,Android,0,delivered,2668.17
O000282,C01390,2025-06-09 06:51:29,Gujarat,COD,Android,0,delivered,2585.36
O000283,C01819,2024-03-26 00:55:11,Assam,UPI,iOS,0,cancelled,5798.47
O000284,C01876,2024-04-30 08:44:57,Jharkhand,UPI,Android,0,delivered,4445.54
O000285,C01467,2025-01-23 10:07:03,Kerala,UPI,Android,1,delivered,10885.89
O000286,C00263,2024-01-23 02:17:32,Punjab,Card,Web,0,delivered,4003.09
O000287,C00936,2024-08-15 08:30:12,Uttar Pradesh,COD,iOS,0,delivered,2977.82
O000288,C00872,2024-03-04 18:38:51,Tamil Nadu,UPI,Android,0,delivered,186.22
O000289,C01246,2024-08-01 22:49:28,Chhattisgarh,Card,iOS,0,cancelled,673.83
O000290,C01864,2024-11-16 20:51:33,Rajasthan,COD,Web,1,delivered,3137.49
O000291,C00002,2025-05-29 23:45:51,Uttar Pradesh,COD,Android,0,delivered,4173.29
O000292,C01934,2025-05-23 07:30:47,Kerala,COD,Android,0,delivered,959.33
O000293,C00394,2025-02-11 13:18:54,Assam,COD,iOS,0,delivered,3485.44
O000294,C00306,2024-02-19 19:43:07,Kerala,UPI,Android,0,delivered,3839.46
O000295,C01170,2025-04-29 08:18:24,Andhra Pradesh,COD,Web,0,delivered,5490.76
O000296,C00530,2025-01-08 04:43:27,West Bengal,UPI,Android,1,delivered,2867.91
O000297,C00528,2024-04-07 21:22:16,Kerala,COD,Android,0,cancelled,1187.67
O000298,C01332,2024-10-28 03:47:04,Tamil Nadu,UPI,Android,0,delivered,4362.24
O000299,C00965,2025-03-24 05:40:02,Chhattisgarh,UPI,Android,0,delivered,803.3
O000300,C01972,2024-03-02 03:41:36,Maharashtra,Card,Android,1,delivered,6603.48
O000301,C00671,2024-12-28 19:05:27,Bihar,COD,Web,1,delivered,1831.34
O000302,C01364,2024-06-15 02:25:43,Tamil Nadu,UPI,Android,0,delivered,5044.6
O000303,C01943,2024-08-10 09:58:35,Chhattisgarh,Card,Android,1,delivered,3089.04
O000304,C00352,2025-05-06 16:05:28,Chhattisgarh,COD,Android,0,delivered,2730.66
O000305,C00810,2024-05-02 22:59:11,Haryana,UPI,iOS,0,delivered,993.93
