customer_id,signup_date,state,city,gender,age,segment,acquisition_channel
C00051,2023-09-24,Karnataka,CityA,F,35,Reseller,Organic
C00052,2025-02-07,Chhattisgarh,CityB,F,41,Reseller,Organic
C00053,2023-09-16,Madhya Pradesh,CityB,M,25,Direct Buyer,Organic
C00054,2023-01-04,Rajasthan,CityB,M,36,Reseller,Referral
C00055,2023-02-11,Jammu & Kashmir,CityD,M,24,Reseller,Influencer
C00056,2024-09-01,Jammu & Kashmir,CityC,M,46,Direct Buyer,Organic
C00057,2023-04-10,West Bengal,CityB,M,26,Direct Buyer,Organic
C00058,2023-07-26,Tamil Nadu,CityB,F,35,Reseller,Organic
C00059,2024-02-28,Rajasthan,CityA,F,31,Reseller,Google Ads
C00060,2025-02-15,Haryana,CityA,M,50,Reseller,Organic
C00061,2024-11-28,Madhya Pradesh,CityC,F,31,Reseller,Organic
C00062,2024-01-30,Jammu & Kashmir,CityC,F,25,Direct Buyer,Organic
C00063,2024-02-26,Bihar,CityE,F,35,Direct Buyer,Referral
C00064,2024-11-25,Rajasthan,CityA,M,34,Direct Buyer,Referral
C00065,2024-09-29,Jharkhand,CityE,F,28,Reseller,Facebook Ads
C00066,2023-02-08,Rajasthan,CityD,M,21,Reseller,Organic
C00067,2024-11-10,Madhya Pradesh,CityE,M,25,Reseller,Referral
C00068,2024-02-24,Madhya Pradesh,CityB,F,37,Reseller,Organic
C00069,2025-03-18,Maharashtra,CityE,F,18,Direct Buyer,Organic
C00070,2024-10-08,Tamil Nadu,CityC,F,28,Reseller,Referral
C00071,2024-10-22,Assam,CityD,M,37,Reseller,Organic
C00072,2024-07-22,Andhra Pradesh,CityB,M,29,Reseller,Referral
C00073,2025-03-02,Rajasthan,CityE,M,47,Reseller,Organic
C00074,2025-01-16,Madhya Pradesh,CityD,F,18,Reseller,Organic
C00075,2024-03-24,Uttar Pradesh,CityD,F,22,Direct Buyer,Google Ads
C00076,2024-08-22,Kerala,CityB,F,18,Reseller,Referral
C00077,2025-02-16,Haryana,CityE,M,45,Direct Buyer,Facebook Ads
C00078,2025-06-20,Kerala,CityD,F,22,Reseller,Google Ads
C00079,2025-05-02,Haryana,CityD,F,18,Reseller,Referral
C00080,2024-07-11,Madhya Pradesh,CityA,F,25,Direct Buyer,Facebook Ads
C00081,2024-08-31,Kerala,CityD,F,18,Reseller,Referral
C00082,2023-10-02,West Bengal,CityA,F,25,Direct Buyer,Organic
C00083,2024-11-30,Chhattisgarh,CityE,F,30,Reseller,Organic
C00084,2023-05-28,Bihar,CityE,F,36,Reseller,Referral
C00085,2024-07-17,Chhattisgarh,CityE,F,28,Direct Buyer,Organic
C00086,2024-05-24,Telangana,CityC,M,30,Direct Buyer,Organic
C00087,2024-03-19,Jammu & Kashmir,CityE,M,25,Direct Buyer,Organic
C00088,2024-08-29,West Bengal,CityD,F,18,Direct Buyer,Organic
C00089,2024-07-27,Maharashtra,CityB,M,18,Reseller,Organic
C00090,2025-01-01,Jammu & Kashmir,CityA,F,27,Direct Buyer,Organic
C00091,2024-03-08,Punjab,CityC,F,30,Direct Buyer,Organic
C00092,2023-11-09,Haryana,CityE,M,26,Reseller,Organic
C00093,2024-08-17,Karnataka,CityE,M,18,Reseller,Referral
C00094,2025-07-03,Bihar,CityB,M,31,Direct Buyer,Organic
C00095,2023-03-24,Gujarat,CityB,F,43,Reseller,Google Ads
C00096,2023-02-22,Jammu & Kashmir,CityC,F,29,Reseller,Google Ads
C00097,2024-09-17,Tamil Nadu,CityA,M,25,Direct Buyer,Referral
C00098,2024-09-22,Andhra Pradesh,CityE,F,29,Reseller,Facebook Ads
C00099,2024-04-25,Andhra Pradesh,CityC,F,21,Reseller,Organic
C00100,2024-06-23,Kerala,CityD,M,20,Direct Buyer,Organic
C00101,2024-09-16,Chhattisgarh,CityD,M,33,Reseller,Influencer
C00102,2024-08-30,Gujarat,CityC,M,37,Direct Buyer,Organic
C00103,2023-06-22,Chhattisgarh,CityE,F,28,Reseller,Influencer
C00104,2024-01-30,Gujarat,CityC,M,18,Reseller,Referral
C00105,2023-05-28,Gujarat,CityE,F,32,Reseller,Organic
C00106,2023-09-14,Uttar Pradesh,CityB,F,46,Direct Buyer,Referral
C00107,2024-06-20,Maharashtra,CityC,M,28,Reseller,Referral
C00108,2023-05-29,Punjab,CityE,F,28,Reseller,Organic
C00109,2025-05-06,Uttar Pradesh,CityC,F,23,Reseller,Organic
C00110,2023-10-29,Andhra Pradesh,CityC,M,33,Reseller,Facebook Ads
C00111,2024-04-01,Haryana,CityE,F,24,Reseller,Referral
C00112,2025-05-02,Karnataka,CityE,F,38,Reseller,Organic
C00113,2023-04-02,Telangana,CityA,F,24,Reseller,Organic
C00114,2024-12-03,Maharashtra,CityC,F,32,Reseller,Google Ads
C00115,2024-12-07,Karnataka,CityD,F,29,Direct Buyer,Referral
C00116,2023-01-09,Karnataka,CityC,M,42,Direct Buyer,Referral
C00117,2024-07-21,Chhattisgarh,CityC,M,33,Reseller,Influencer
C00118,2023-11-26,Assam,CityE,F,41,Reseller,Organic
C00119,2023-04-03,Chhattisgarh,CityC,M,30,Direct Buyer,Referral
C00120,2023-02-08,Kerala,CityC,F,28,Direct Buyer,Google Ads
C00121,2024-03-02,Delhi,CityD,F,29,Reseller,Facebook Ads
C00122,2024-02-03,Madhya Pradesh,CityE,M,23,Direct Buyer,Organic
C00123,2023-03-07,Odisha,CityC,F,34,Reseller,Organic
C00124,2024-12-13,Uttar Pradesh,CityB,M,24,Reseller,Facebook Ads
C00125,2024-06-14,Madhya Pradesh,CityA,F,30,Reseller,Organic
C00126,2023-07-25,Karnataka,CityD,M,36,Direct Buyer,Influencer
C00127,2024-03-03,Kerala,CityC,F,42,Reseller,Organic
C00128,2023-10-03,Karnataka,CityB,F,31,Direct Buyer,Organic
C00129,2025-02-12,Telangana,CityC,F,36,Reseller,Organic
C00130,2024-05-14,Uttar Pradesh,CityC,M,35,Reseller,Facebook Ads
C00131,2023-09-24,Kerala,CityE,F,26,Reseller,Google Ads
C00132,2024-12-20,Delhi,CityE,M,46,Direct Buyer,Referral
C00133,2023-09-12,Bihar,CityE,F,25,Reseller,Influencer
C00134,2024-02-27,Chhattisgarh,CityB,F,30,Reseller,Organic
C00135,2023-12-29,Madhya Pradesh,CityC,F,41,Reseller,Organic
C00136,2023-09-05,Jammu & Kashmir,CityA,M,41,Direct Buyer,Google Ads
C00137,2023-09-29,Karnataka,CityD,M,30,Reseller,Google Ads
C00138,2024-12-16,Jharkhand,CityE,F,37,Reseller,Google Ads
C00139,2024-02-22,West Bengal,CityE,M,28,Reseller,Google Ads
C00140,2024-08-06,Telangana,CityC,F,26,Direct Buyer,Organic
C00141,2024-05-25,Jammu & Kashmir,CityC,M,20,Direct Buyer,Organic
C00142,2025-05-22,Assam,CityB,M,35,Direct Buyer,Influencer
C00143,2024-02-16,Delhi,CityB,F,36,Reseller,Organic
C00144,2024-02-07,Rajasthan,CityE,F,25,Reseller,Organic
C00145,2024-08-11,Delhi,CityC,M,32,Direct Buyer,Facebook Ads
C00146,2024-09-15,Delhi,CityA,M,51,Reseller,Organic
C00147,2023-10-01,Telangana,CityD,F,39,Reseller,Google Ads
C00148,2023-01-29,Madhya Pradesh,CityC,F,22,Reseller,Organic
C00149,2025-03-21,Madhya Pradesh,CityC,F,38,Direct Buyer,Google Ads
C00150,2024-04-01,Karnataka,CityB,F,22,Reseller,Referral
C00151,2023-01-26,Andhra Pradesh,CityD,M,18,Direct Buyer,Referral
C00152,2023-10-02,Tamil Nadu,CityE,M,29,Direct Buyer,Referral
C00153,2024-03-14,Assam,CityC,F,42,Reseller,Organic
C00154,2025-04-24,Punjab,CityE,F,41,Reseller,Referral
C00155,2023-12-12,Chhattisgarh,CityC,F,33,Direct Buyer,Referral
C00156,2024-02-22,Karnataka,CityE,F,25,Direct Buyer,Referral
C00157,2024-06-18,Karnataka,CityD,F,33,Direct Buyer,Organic
C00158,2023-05-22,Gujarat,CityB,F,27,Direct Buyer,Organic
C00159,2024-07-08,Maharashtra,CityD,F,25,Reseller,Organic
C00160,2025-03-10,Assam,CityA,F,38,Direct Buyer,Facebook Ads
C00161,2023-06-16,Haryana,CityB,F,25,Reseller,Organic
C00162,2023-09-03,Bihar,CityD,F,39,Direct Buyer,Google Ads
C00163,2023-09-26,Chhattisgarh,CityA,F,25,Direct Buyer,Facebook Ads
C00164,2024-08-21,West Bengal,CityC,F,46,Direct Buyer,Facebook Ads
C00165,2024-06-16,West Bengal,CityC,F,18,Direct Buyer,Google Ads
C00166,2023-01-01,Jharkhand,CityE,F,22,Direct Buyer,Organic
C00167,2025-02-10,Gujarat,CityB,F,28,Reseller,Google Ads
C00168,2023-04-29,Gujarat,CityC,M,18,Direct Buyer,Referral
C00169,2023-05-31,Haryana,CityB,M,18,Reseller,Google Ads
C00170,2023-07-14,Andhra Pradesh,CityC,M,18,Reseller,Google Ads
C00171,2023-03-30,West Bengal,CityE,F,27,Reseller,Organic
C00172,2024-03-13,Odisha,CityD,M,27,Reseller,Organic
C00173,2023-06-28,Karnataka,CityE,M,32,Direct Buyer,Referral
C00174,2023-10-08,Maharashtra,CityA,F,28,Direct Buyer,Facebook Ads
C00175,2025-04-14,Kerala,CityC,F,32,Reseller,Organic
C00176,2025-02-25,Punjab,CityA,M,26,Reseller,Organic
C00177,2024-01-26,Maharashtra,CityA,F,35,Reseller,Organic
C00178,2023-05-14,Telangana,CityB,F,34,Direct Buyer,Referral
C00179,2023-08-26,Andhra Pradesh,CityC,M,27,Reseller,Influencer
C00180,2023-03-31,Assam,CityA,M,34,Direct Buyer,Facebook Ads
C00181,2023-03-07,Chhattisgarh,CityD,F,28,Direct Buyer,Organic
C00182,2023-04-11,Karnataka,CityA,F,18,Reseller,Organic
C00183,2024-04-09,Haryana,CityD,F,37,Direct Buyer,Organic
C00184,2024-05-26,Gujarat,CityB,M,22,Direct Buyer,Referral
C00185,2025-04-20,Karnataka,CityA,F,37,Direct Buyer,Google Ads
C00186,2025-02-28,Jharkhand,CityE,F,32,Reseller,Organic
C00187,2025-07-01,Haryana,CityB,M,29,Reseller,Referral
C00188,2024-07-31,Jammu & Kashmir,CityD,F,18,Direct Buyer,Google Ads
C00189,2024-04-15,Jammu & Kashmir,CityB,M,42,Reseller,Influencer
C00190,2023-03-19,Odisha,CityA,F,27,Direct Buyer,Organic
C00191,2023-12-30,Delhi,CityC,F,35,Reseller,Organic
C00192,2024-12-30,Jharkhand,CityC,M,29,Reseller,Organic
C00193,2024-02-29,Chhattisgarh,CityD,F,27,Reseller,Facebook Ads
C00194,2023-08-13,Bihar,CityD,F,31,Direct Buyer,Influencer
C00195,2023-07-15,Rajasthan,CityC,F,30,Reseller,Organic
C00196,2025-04-29,Chhattisgarh,CityD,M,27,Direct Buyer,Organic
C00197,2024-02-16,Odisha,CityB,M,29,Reseller,Google Ads
C00198,2024-02-12,Gujarat,CityE,M,33,Direct Buyer,Facebook Ads
C00199,2024-02-18,Assam,CityE,F,33,Direct Buyer,Influencer
C00200,2024-04-18,Haryana,CityB,F,30,Reseller,Organic
C00201,2024-12-27,Kerala,CityE,F,34,Reseller,Organic
C00202,2024-10-31,Karnataka,CityA,M,26,Reseller,Organic
C00203,2023-03-16,Jharkhand,CityB,F,47,Reseller,Organic
C00204,2025-04-04,Karnataka,CityD,M,41,Direct Buyer,Referral
C00205,2024-08-24,Jharkhand,CityB,F,36,Reseller,Organic
C00206,2024-01-21,Rajasthan,CityC,M,18,Reseller,Organic
C00207,2023-09-02,Odisha,CityD,M,34,Direct Buyer,Google Ads
C00208,2023-05-01,Telangana,CityC,M,27,Reseller,Organic
C00209,2025-06-19,Telangana,CityD,F,22,Direct Buyer,Facebook Ads
C00210,2023-05-31,Kerala,CityE,F,27,Reseller,Organic
C00211,2023-06-20,Haryana,CityB,F,23,Direct Buyer,Google Ads
C00212,2024-08-06,Maharashtra,CityA,F,34,Reseller,Organic
C00213,2025-06-01,Assam,CityD,F,42,Reseller,Facebook Ads
C00214,2024-09-14,Jammu & Kashmir,CityD,F,36,Reseller,Organic
C00215,2025-03-29,Haryana,CityC,F,52,Reseller,Organic
C00216,2025-07-05,Assam,CityE,M,18,Reseller,Facebook Ads
C00217,2024-05-21,Delhi,CityC,M,25,Reseller,Organic
C00218,2023-04-27,Odisha,CityC,F,22,Direct Buyer,Organic
C00219,2024-02-16,Kerala,CityE,M,39,Reseller,Google Ads
C00220,2024-01-30,Telangana,CityA,F,28,Direct Buyer,Google Ads
C00221,2024-05-02,Madhya Pradesh,CityC,F,31,Reseller,Organic
C00222,2023-07-05,Uttar Pradesh,CityC,F,35,Direct Buyer,Organic
C00223,2023-08-23,Bihar,CityD,M,18,Reseller,Organic
C00224,2024-10-29,Delhi,CityE,F,25,Reseller,Organic
C00225,2025-04-06,Rajasthan,CityB,F,37,Reseller,Influencer
C00226,2024-06-22,Odisha,CityA,M,25,Reseller,Referral
C00227,2024-01-15,Assam,CityA,F,18,Reseller,Referral
C00228,2024-02-07,Madhya Pradesh,CityE,M,22,Reseller,Influencer
C00229,2023-03-02,Assam,CityD,M,27,Direct Buyer,Referral
C00230,2023-09-29,Karnataka,CityD,M,31,Direct Buyer,Facebook Ads
C00231,2024-10-01,Andhra Pradesh,CityE,F,29,Reseller,Organic
C00232,2023-12-25,Punjab,CityD,F,25,Direct Buyer,Organic
C00233,2023-05-25,Karnataka,CityA,F,37,Direct Buyer,Referral
C00234,2024-09-17,Uttar Pradesh,CityA,F,28,Direct Buyer,Organic
C00235,2024-08-23,Odisha,CityB,F,31,Reseller,Organic
C00236,2024-09-26,Madhya Pradesh,CityE,F,25,Reseller,Organic
C00237,2025-04-26,Bihar,CityC,M,42,Reseller,Organic
C00238,2023-12-23,Uttar Pradesh,CityC,M,26,Direct Buyer,Referral
C00239,2023-09-25,West Bengal,CityB,F,30,Reseller,Referral
C00240,2023-07-23,Karnataka,CityB,F,38,Reseller,Organic
C00241,2024-09-25,Bihar,CityD,F,32,Reseller,Organic
C00242,2024-09-22,Andhra Pradesh,CityB,F,32,Reseller,Facebook Ads
C00243,2025-06-23,Maharashtra,CityB,M,18,Direct Buyer,Organic
C00244,2024-04-02,Telangana,CityC,M,35,Reseller,Referral
C00245,2024-01-19,Andhra Pradesh,CityD,M,30,Direct Buyer,Facebook Ads
C00246,2023-05-11,Jharkhand,CityB,M,34,Direct Buyer,Organic
C00247,2023-12-27,Rajasthan,CityB,F,31,Reseller,Facebook Ads
C00248,2023-09-02,Maharashtra,CityD,M,25,Reseller,Facebook Ads
C00249,2023-09-09,Gujarat,CityE,F,37,Direct Buyer,Organic
C00250,2023-05-13,Punjab,CityD,F,31,Reseller,Organic
C00251,2023-08-15,Kerala,CityC,F,19,Reseller,Influencer
C00252,2025-05-19,Gujarat,CityE,F,40,Reseller,Organic
C00253,2025-04-18,Jammu & Kashmir,CityA,F,18,Direct Buyer,Google Ads
C00254,2023-08-07,West Bengal,CityD,F,37,Direct Buyer,Referral
C00255,2024-06-27,Andhra Pradesh,CityC,M,41,Reseller,Organic
C00256,2023-10-02,Odisha,CityE,F,21,Reseller,Organic
C00257,2025-06-17,Chhattisgarh,CityD,F,29,Reseller,Referral
C00258,2025-07-08,Jharkhand,CityB,F,28,Direct Buyer,Organic
C00259,2024-10-03,Jharkhand,CityD,M,28,Reseller,Facebook Ads
C00260,2023-09-30,Maharashtra,CityA,F,44,Direct Buyer,Influencer
C00261,2023-04-19,Jammu & Kashmir,CityD,M,21,Reseller,Google Ads
C00262,2023-03-09,Telangana,CityE,M,27,Direct Buyer,Organic
C00263,2023-10-16,Punjab,CityE,F,42,Reseller,Google Ads
C00264,2024-07-15,Delhi,CityD,M,27,Direct Buyer,Google Ads
C00265,2024-03-14,Tamil Nadu,CityE,F,22,Reseller,Influencer
C00266,2024-07-17,Delhi,CityB,F,32,Direct Buyer,Referral
C00267,2025-01-25,Madhya Pradesh,CityD,M,36,Reseller,Facebook Ads
C00268,2023-01-23,West Bengal,CityB,F,26,Reseller,Referral
C00269,2023-07-31,Assam,CityB,F,34,Reseller,Organic
C00270,2024-05-19,West Bengal,CityC,F,18,Direct Buyer,Influencer
C00271,2025-06-18,Jammu & Kashmir,CityD,F,19,Direct Buyer,Organic
C00272,2025-06-13,Andhra Pradesh,CityE,M,26,Reseller,Organic
C00273,2025-04-27,Bihar,CityB,F,34,Direct Buyer,Google Ads
C00274,2023-11-02,Madhya Pradesh,CityC,M,36,Direct Buyer,Organic
C00275,2024-11-05,Tamil Nadu,CityD,F,20,Direct Buyer,Google Ads
C00276,2023-11-11,Karnataka,CityD,M,35,Direct Buyer,Facebook Ads
C00277,2023-05-12,Rajasthan,CityA,F,31,Direct Buyer,Organic
C00278,2024-12-17,Andhra Pradesh,CityA,F,22,Reseller,Organic
C00279,2024-09-22,Tamil Nadu,CityB,M,19,Direct Buyer,Facebook Ads
C00280,2024-01-20,Jharkhand,CityA,F,31,Direct Buyer,Referral
C00281,2024-07-22,West Bengal,CityB,F,40,Direct Buyer,Influencer
C00282,2023-07-04,Kerala,CityE,F,30,Reseller,Google Ads
C00283,2024-04-17,Jammu & Kashmir,CityB,M,22,Reseller,Organic
C00284,2025-07-11,Chhattisgarh,CityA,F,18,Reseller,Organic
C00285,2024-09-06,Rajasthan,CityE,M,42,Direct Buyer,Influencer
C00286,2023-05-28,West Bengal,CityA,F,38,Direct Buyer,Referral
C00287,2023-03-01,Jharkhand,CityB,F,32,Reseller,Organic
C00288,2025-03-27,Bihar,CityC,M,41,Direct Buyer,Google Ads
C00289,2024-03-04,Madhya Pradesh,CityD,M,31,Direct Buyer,Google Ads
C00290,2024-02-27,Punjab,CityA,M,25,Direct Buyer,Referral
C00291,2025-02-07,Jammu & Kashmir,CityB,M,34,Reseller,Organic
C00292,2025-02-13,West Bengal,CityE,F,23,Direct Buyer,Facebook Ads
C00293,2025-06-26,Maharashtra,CityA,F,22,Reseller,Facebook Ads
C00294,2024-05-01,Haryana,CityA,F,36,Direct Buyer,Google Ads
C00295,2024-07-29,Delhi,CityD,M,36,Reseller,Influencer
C00296,2024-04-05,Delhi,CityB,M,19,Reseller,Referral
C00297,2024-09-30,Chhattisgarh,CityC,F,20,Direct Buyer,Google Ads
C00298,2024-10-18,Jharkhand,CityE,F,26,Reseller,Influencer
C00299,2024-05-16,Delhi,CityB,F,24,Reseller,Organic
C00300,2023-06-19,Kerala,CityE,M,33,Direct Buyer,Organic
C00301,2024-01-03,Odisha,CityA,F,30,Reseller,Google Ads
C00302,2025-07-07,Tamil Nadu,CityD,F,39,Reseller,Organic
C00303,2023-08-08,West Bengal,CityD,F,32,Reseller,Organic
C00304,2025-04-01,Delhi,CityC,M,24,Reseller,Organic
C00305,2024-10-20,Punjab,CityD,M,18,Reseller,Organic
C00306,2023-01-24,Kerala,CityA,M,31,Reseller,Organic
C00307,2024-02-29,West Bengal,CityC,F,18,Direct Buyer,Organic
C00308,2024-01-11,Chhattisgarh,CityB,F,24,Reseller,Influencer
C00309,2024-01-29,Uttar Pradesh,CityD,M,24,Reseller,Facebook Ads
C00310,2023-06-20,Haryana,CityC,M,25,Reseller,Facebook Ads
C00311,2025-01-10,Jammu & Kashmir,CityA,F,19,Reseller,Organic
C00312,2025-01-10,Chhattisgarh,CityE,F,24,Direct Buyer,Facebook Ads
C00313,2025-01-19,Assam,CityE,F,39,Direct Buyer,Facebook Ads
C00314,2023-07-26,Telangana,CityA,F,39,Reseller,Facebook Ads
C00315,2025-06-30,Kerala,CityA,M,42,Reseller,Organic
C00316,2024-11-28,Uttar Pradesh,CityE,F,30,Reseller,Organic
C00317,2023-04-28,Chhattisgarh,CityC,F,32,Direct Buyer,Google Ads
C00318,2024-05-14,Tamil Nadu,CityE,F,39,Direct Buyer,Facebook Ads
C00319,2023-09-02,West Bengal,CityA,F,18,Reseller,Facebook Ads
C00320,2024-04-18,Jammu & Kashmir,CityD,F,36,Reseller,Referral
C00321,2024-07-31,Punjab,CityB,F,40,Direct Buyer,Organic
C00322,2025-01-14,Assam,CityD,F,22,Direct Buyer,Facebook Ads
C00323,2025-02-21,Assam,CityD,M,41,Direct Buyer,Organic
C00324,2024-09-05,Tamil Nadu,CityA,F,46,Reseller,Facebook Ads
C00325,2025-01-28,Assam,CityE,F,36,Reseller,Influencer
C00326,2024-11-03,Jharkhand,CityC,M,34,Reseller,Google Ads
C00327,2023-11-05,Telangana,CityD,M,21,Direct Buyer,Organic
C00328,2025-06-02,Rajasthan,CityE,M,38,Direct Buyer,Organic
C00329,2023-12-14,Gujarat,CityC,F,21,Reseller,Facebook Ads
C00330,2024-07-17,Punjab,CityD,F,32,Reseller,Google Ads
C00331,2023-09-15,Madhya Pradesh,CityC,F,33,Reseller,Referral
C00332,2023-03-17,Jammu & Kashmir,CityE,F,18,Reseller,Referral
C00333,2023-05-24,Andhra Pradesh,CityB,F,33,Reseller,Organic
C00334,2025-04-27,Haryana,CityE,M,50,Direct Buyer,Facebook Ads
C00335,2023-12-03,Bihar,CityA,F,18,Reseller,Facebook Ads
C00336,2024-02-24,Kerala,CityC,F,29,Reseller,Influencer
C00337,2024-12-20,Telangana,CityB,F,18,Direct Buyer,Organic
C00338,2024-12-23,Chhattisgarh,CityC,F,22,Reseller,Facebook Ads
C00339,2025-01-15,Kerala,CityC,M,18,Reseller,Organic
C00340,2024-07-31,Tamil Nadu,CityD,F,31,Reseller,Referral
C00341,2023-01-29,Chhattisgarh,CityA,M,36,Direct Buyer,Google Ads
C00342,2025-03-24,Kerala,CityC,M,33,Direct Buyer,Organic
C00343,2023-01-12,Delhi,CityE,F,22,Reseller,Organic
C00344,2023-02-18,Delhi,CityE,F,25,Reseller,Google Ads
C00345,2025-02-23,Andhra Pradesh,CityD,M,32,Reseller,Referral
C00346,2025-02-23,Bihar,CityA,M,22,Direct Buyer,Organic
C00347,2023-08-22,Jharkhand,CityA,F,19,Direct Buyer,Organic
C00348,2025-02-17,Delhi,CityE,M,28,Direct Buyer,Referral
C00349,2024-07-20,Madhya Pradesh,CityB,F,22,Reseller,Influencer
C00350,2024-10-12,Madhya Pradesh,CityD,M,33,Direct Buyer,Organic
C00351,2023-09-21,Jammu & Kashmir,CityD,F,40,Direct Buyer,Google Ads
C00352,2025-04-07,Chhattisgarh,CityE,F,50,Direct Buyer,Organic
C00353,2023-01-13,Andhra Pradesh,CityE,M,32,Direct Buyer,Organic
C00354,2023-10-31,Madhya Pradesh,CityB,F,35,Reseller,Organic
C00355,2024-01-13,West Bengal,CityB,F,25,Reseller,Google Ads
C00356,2024-05-17,Tamil Nadu,CityA,F,25,Reseller,Organic
C00357,2025-03-28,West Bengal,CityD,M,40,Reseller,Google Ads
C00358,2023-10-17,Rajasthan,CityD,M,27,Direct Buyer,Referral
C00359,2023-04-13,Rajasthan,CityE,M,30,Direct Buyer,Influencer
C00360,2024-12-04,Haryana,CityA,F,39,Direct Buyer,Google Ads
C00361,2025-02-02,Bihar,CityD,M,27,Reseller,Facebook Ads
C00362,2023-12-09,Uttar Pradesh,CityA,F,42,Reseller,Google Ads
C00363,2023-01-06,West Bengal,CityA,F,34,Direct Buyer,Referral
C00364,2023-09-11,Tamil Nadu,CityE,M,33,Reseller,Google Ads
C00365,2024-04-11,Gujarat,CityA,F,24,Reseller,Organic
C00366,2024-08-20,Jharkhand,CityB,F,34,Direct Buyer,Organic
C00367,2024-09-09,Odisha,CityB,F,26,Direct Buyer,Referral
C00368,2024-10-25,Jammu & Kashmir,CityC,F,33,Reseller,Organic
C00369,2023-12-31,West Bengal,CityE,M,29,Direct Buyer,Organic
C00370,2024-01-21,Odisha,CityC,F,37,Direct Buyer,Referral
C00371,2023-12-20,Andhra Pradesh,CityB,M,29,Direct Buyer,Organic
C00372,2023-02-09,Rajasthan,CityC,F,46,Direct Buyer,Referral
C00373,2025-03-21,Bihar,CityE,F,27,Reseller,Organic
C00374,2024-06-03,Jharkhand,CityE,F,25,Direct Buyer,Influencer
C00375,2024-05-03,Andhra Pradesh,CityA,M,32,Reseller,Influencer
