order_id,payment_date,amount,method,success
O000120,2024-01-20 08:59:49,4620.29,NetBanking,1
O000121,2025-05-27 23:37:55,5902.36,UPI,1
O000122,2024-10-18 00:05:13,6550.7,COD,1
O000123,2024-09-06 07:19:53,10354.3,COD,1
O000124,2025-04-08 05:24:27,4147.02,COD,1
O000125,2024-03-08 04:59:56,4982.32,UPI,1
O000126,2025-02-11 10:11:58,1606.53,NetBanking,0
O000127,2024-01-27 16:59:30,5484.43,Card,1
O000128,2024-06-04 18:22:40,270.84,COD,0
O000129,2024-04-29 18:24:12,3323.34,UPI,1
O000130,2025-07-17 08:38:25,7613.74,NetBanking,1
O000131,2024-08-17 10:49:03,5389.25,Card,1
O000132,2024-08-11 18:54:22,2421.14,COD,1
O000133,2024-12-02 18:27:22,3218.85,UPI,1
O000134,2025-02-11 11:37:08,9076.44,UPI,1
O000135,2025-03-13 10:36:17,4070.53,UPI,1
O000136,2025-04-15 00:29:46,8137.29,UPI,1
O000137,2024-05-31 16:56:47,5976.72,UPI,1
O000138,2024-05-06 06:44:46,2544.99,Card,0
O000139,2025-04-01 08:22:48,1347.02,COD,1
O000140,2024-01-04 06:47:35,2128.51,UPI,1
O000141,2024-09-22 18:25:11,564.64,COD,1
O000142,2024-12-16 10:03:13,2714.26,UPI,1
O000143,2025-05-09 14:13:34,2942.31,COD,1
O000144,2024-11-10 16:44:52,2143.27,UPI,1
O000145,2025-02-04 06:41:22,2447.73,UPI,1
O000146,2024-04-22 04:06:33,2433.41,UPI,1
O000147,2024-10-13 18:57:12,2582.25,COD,1
O000148,2024-04-21 10:51:33,1149.12,UPI,0
O000149,2025-05-01 02:08:28,1606.83,COD,1
O000150,2024-03-11 01:07:51,1897.34,NetBanking,1
O000151,2024-03-30 01:20:36,1100.25,COD,0
O000152,2025-04-30 11:09:00,7309.96,COD,1
O000153,2025-07-27 03:52:26,3312.84,Card,1
O000154,2024-10-22 22:43:57,2595.01,UPI,1
O000155,2025-02-19 13:13:11,3673.71,UPI,1
O000156,2024-02-20 05:40:31,682.28,Card,1
O000157,2024-03-21 22:25:01,10638.08,NetBanking,1
O000158,2025-03-16 13:35:55,5934.18,UPI,1
O000159,2024-06-04 05:30:44,5423.13,Card,1
O000160,2024-05-11 10:17:04,230.5,UPI,0
O000161,2024-05-29 07:07:34,5222.0,NetBanking,1
O000162,2025-07-22 14:28:34,2047.65,UPI,1
O000163,2024-03-29 11:01:10,5491.6,UPI,0
O000164,2025-05-20 15:59:48,2327.28,COD,1
O000165,2024-01-30 10:41:31,1903.94,Card,1
O000166,2025-05-23 15:41:29,6263.51,Wallet,1
O000167,2024-09-29 07:55:16,3234.83,Card,1
O000168,2025-04-24 19:27:17,5198.22,COD,1
O000169,2024-02-26 18:00:06,5258.59,COD,1
O000170,2024-05-28 05:09:46,3837.57,UPI,1
O000171,2024-12-20 11:58:03,5798.11,UPI,1
O000172,2024-12-12 07:39:25,6058.95,COD,1
O000173,2025-05-24 09:01:50,4397.09,COD,1
O000174,2024-10-02 18:19:07,715.15,NetBanking,1
O000175,2024-11-07 22:54:43,2661.21,UPI,1
O000176,2024-07-24 23:54:40,3829.2,COD,1
O000177,2024-04-05 12:52:54,4555.11,NetBanking,1
O000178,2025-07-15 15:02:41,4825.84,UPI,1
O000179,2024-09-02 23:46:30,4127.39,COD,1
O000180,2024-10-09 01:53:25,2322.45,COD,1
O000181,2024-06-10 22:42:11,790.8,Card,1
O000182,2025-06-13 06:00:15,2141.65,UPI,1
O000183,2024-03-24 05:09:30,3163.89,UPI,1
O000184,2025-05-31 01:09:37,4767.55,UPI,1
O000185,2024-02-01 03:49:19,1064.24,NetBanking,1
O000186,2024-01-31 01:27:11,4240.41,UPI,1
O000187,2025-01-23 22:18:46,7512.68,COD,0
O000188,2024-07-26 12:14:48,2128.67,COD,1
O000189,2024-02-03 11:18:58,1934.54,COD,1
O000190,2024-02-12 04:00:56,590.19,UPI,1
O000191,2025-04-03 03:40:20,5847.31,UPI,1
O000192,2024-11-16 12:26:56,2527.36,UPI,0
O000193,2025-02-18 10:44:48,4922.34,Card,1
O000194,2024-12-12 03:52:47,1002.87,COD,1
O000195,2025-04-15 03:33:34,315.55,NetBanking,1
O000196,2024-05-11 18:42:20,6525.02,COD,1
O000197,2024-09-02 21:19:34,1955.92,UPI,1
O000198,2025-03-18 03:54:42,2003.68,UPI,1
O000199,2024-09-20 15:34:47,4424.46,UPI,1
O000200,2025-06-16 04:12:06,5879.33,Wallet,1
O000201,2024-03-02 14:51:24,7077.89,COD,1
O000202,2024-10-21 16:29:35,13948.49,COD,1
O000203,2024-04-04 14:37:42,3716.8,NetBanking,1
O000204,2024-12-07 06:29:20,3279.14,COD,1
O000205,2025-01-11 14:41:35,4717.5,Card,0
O000206,2024-05-20 04:21:52,6122.21,UPI,1
O000207,2024-06-24 17:46:23,982.84,Card,0
O000208,2024-06-07 04:18:37,1755.89,Wallet,1
O000209,2024-04-24 10:42:25,7131.41,UPI,1
O000210,2025-04-10 19:21:30,3026.65,COD,1
O000211,2024-09-15 03:12:52,2883.98,NetBanking,1
O000212,2024-04-16 19:49:19,1436.61,COD,1
O000213,2024-01-30 03:26:48,3273.89,UPI,1
O000214,2025-05-01 21:33:05,5181.49,Card,0
O000215,2024-07-31 06:47:35,3955.98,COD,1
O000216,2024-05-13 11:22:48,11887.49,COD,1
O000217,2025-04-13 13:56:47,5382.7,UPI,1
O000218,2025-07-22 03:11:51,2444.73,UPI,1
O000219,2024-02-13 06:56:13,2623.29,Wallet,1
O000220,2024-08-27 12:09:48,705.88,COD,1
O000221,2024-06-25 21:53:07,3515.4,Card,1
O000222,2024-03-03 11:20:17,741.87,COD,1
O000223,2024-07-17 13:16:05,4193.87,Card,1
O000224,2024-01-11 22:37:02,2922.66,UPI,1
O000225,2025-04-19 19:17:53,7773.33,UPI,1
O000226,2025-04-27 09:54:48,283.44,UPI,1
O000227,2025-05-24 22:07:25,6629.48,UPI,1
O000228,2024-03-12 10:05:52,2518.45,COD,1
O000229,2025-03-17 04:31:55,4619.82,COD,1
O000230,2024-01-21 16:15:26,6771.02,UPI,1
O000231,2024-12-14 05:00:42,7724.58,UPI,1
O000232,2025-02-10 11:33:06,3262.34,UPI,1
O000233,2024-03-04 03:01:39,1045.85,UPI,1
O000234,2025-02-10 04:53:38,7297.84,COD,1
O000235,2024-06-02 20:42:39,8273.36,UPI,1
O000236,2024-07-09 10:32:31,1619.22,Card,1
O000237,2024-12-01 20:42:04,8376.51,COD,1
O000238,2024-03-02 06:57:48,486.94,NetBanking,0
O000239,2024-08-23 23:46:45,8955.52,UPI,1
O000240,2024-10-30 10:38:01,8393.69,Card,1
O000241,2025-04-29 01:08:44,185.71,COD,1
O000242,2024-09-19 22:41:34,1894.41,UPI,1
O000243,2024-02-15 21:50:21,6723.79,UPI,1
O000244,2024-08-19 16:53:44,5651.87,NetBanking,0
O000245,2025-06-23 18:56:15,3602.63,UPI,1
O000246,2025-01-09 05:08:08,2678.23,UPI,1
O000247,2025-07-15 16:39:50,3945.03,UPI,1
O000248,2024-02-11 20:34:06,3198.47,UPI,1
O000249,2025-01-04 22:25:36,2203.77,UPI,1
O000250,2024-04-22 16:43:16,5105.92,COD,1
O000251,2024-10-03 15:01:13,1252.35,COD,1
O000252,2024-04-05 01:06:34,722.26,COD,1
O000253,2025-07-21 22:16:37,5815.05,UPI,1
O000254,2024-12-15 05:19:33,4818.54,UPI,1
O000255,2024-12-02 18:38:28,7206.24,UPI,1
O000256,2024-10-04 20:54:29,7210.83,Wallet,1
O000257,2024-05-30 01:43:40,3805.13,UPI,0
O000258,2024-02-11 13:03:57,7026.42,Wallet,1
O000259,2024-09-05 13:49:20,2630.04,UPI,0
O000260,2024-08-15 18:51:12,1260.84,COD,1
O000261,2025-04-02 16:42:00,3512.13,COD,1
O000262,2024-07-17 18:37:01,4108.33,UPI,1
O000263,2024-08-11 05:14:15,3826.94,COD,1
O000264,2024-02-12 20:39:18,3495.56,COD,1
O000265,2025-02-18 03:31:53,5256.04,COD,1
O000266,2025-04-26 22:27:49,2413.0,NetBanking,1
O000267,2025-06-25 18:03:52,3741.37,UPI,1
O000268,2025-01-29 18:33:53,1012.86,COD,1
O000269,2025-07-26 07:47:26,4321.97,UPI,1
O000270,2024-07-08 08:59:47,1136.94,UPI,1
O000271,2024-06-07 09:38:45,3822.56,UPI,1
O000272,2024-09-12 13:23:18,6635.2,UPI,1
O000273,2024-08-22 15:34:14,2398.9,UPI,1
O000274,2024-12-18 05:02:53,869.36,COD,1
O000275,2025-06-13 09:53:23,4617.28,COD,1
O000276,2024-06-21 06:23:42,402.33,Wallet,0
O000277,2024-08-15 21:33:43,6244.05,COD,0
O000278,2024-10-31 14:41:56,5550.16,COD,1
O000279,2025-03-12 12:50:28,5213.32,UPI,1
O000280,2024-06-03 16:04:57,1178.13,UPI,1
O000281,2025-04-16 10:10:56,2668.17,Card,1
O000282,2025-06-10 06:51:29,2585.36,COD,1
O000283,2024-03-27 00:55:11,5798.47,UPI,0
O000284,2024-05-01 08:44:57,4445.54,UPI,1
O000285,2025-01-24 10:07:03,10885.89,UPI,1
O000286,2024-01-24 02:17:32,4003.09,Card,1
O000287,2024-08-15 08:30:12,2977.82,COD,1
O000288,2024-03-04 18:38:51,186.22,UPI,1
O000289,2024-08-02 22:49:28,673.83,Card,0
O000290,2024-11-17 20:51:33,3137.49,COD,1
O000291,2025-05-29 23:45:51,4173.29,COD,1
O000292,2025-05-24 07:30:47,959.33,COD,1
O000293,2025-02-12 13:18:54,3485.44,COD,1
O000294,2024-02-20 19:43:07,3839.46,UPI,1
O000295,2025-04-30 08:18:24,5490.76,COD,1
O000296,2025-01-09 04:43:27,2867.91,UPI,1
O000297,2024-04-08 21:22:16,1187.67,COD,0
O000298,2024-10-28 03:47:04,4362.24,UPI,1
O000299,2025-03-24 05:40:02,803.3,UPI,1
O000300,2024-03-03 03:41:36,6603.48,Card,1
O000301,2024-12-29 19:05:27,1831.34,COD,1
O000302,2024-06-15 02:25:43,5044.6,UPI,1
O000303,2024-08-11 09:58:35,3089.04,Card,1
O000304,2025-05-07 16:05:28,2730.66,COD,1
O000305,2024-05-03 22:59:11,993.93,UPI,1
O000306,2025-01-12 00:50:37,1565.92,UPI,1
O000307,2025-06-15 12:25:41,4476.08,COD,1
O000308,2025-01-31 14:16:31,1244.87,UPI,1
O000309,2024-10-24 16:55:52,1567.49,Card,1
O000310,2025-07-18 19:01:47,5374.08,UPI,1
O000311,2025-04-14 17:21:13,3309.7,UPI,1
O000312,2024-06-16 00:29:28,5578.47,UPI,1
O000313,2025-03-20 14:58:35,3277.3,UPI,1
O000314,2024-08-20 22:57:32,2555.89,COD,1
O000315,2025-06-01 02:21:23,3408.17,NetBanking,1
O000316,2024-11-17 22:32:42,1597.21,UPI,1
O000317,2024-05-03 22:52:04,2451.95,UPI,1
O000318,2024-11-21 01:52:53,4752.84,NetBanking,1
O000319,2024-08-17 14:12:53,3375.94,UPI,1
O000320,2025-07-17 08:32:25,3424.64,COD,1
O000321,2025-03-13 04:56:49,3099.17,UPI,0
O000322,2024-08-31 13:38:11,2931.68,UPI,1
O000323,2025-05-24 20:38:00,3669.09,UPI,1
O000324,2025-01-22 01:04:14,2903.77,UPI,1
O000325,2025-06-18 17:02:14,1931.97,COD,1
O000326,2025-01-28 01:19:01,3110.04,UPI,1
O000327,2025-06-10 04:45:30,5287.51,UPI,1
O000328,2025-07-12 00:58:46,3438.28,COD,1
O000329,2025-05-27 08:54:19,7837.58,Wallet,1
O000330,2024-06-16 18:43:59,3768.53,COD,1
O000331,2024-05-25 13:46:54,7868.15,UPI,1
O000332,2025-07-23 02:34:27,1066.92,UPI,1
O000333,2024-05-01 03:35:14,1088.62,COD,1
O000334,2025-01-20 05:20:29,1969.62,COD,1
O000335,2024-10-02 01:34:35,3923.44,COD,1
O000336,2024-11-24 13:29:14,1991.04,UPI,1
O000337,2024-10-29 08:49:31,4399.36,UPI,0
O000338,2024-07-19 14:46:53,2915.08,Wallet,1
O000339,2024-07-02 08:51:19,2250.72,NetBanking,1
O000340,2024-05-25 08:30:42,4007.0,UPI,1
O000341,2025-03-22 11:28:25,6154.36,Card,1
O000342,2024-09-22 10:08:29,9334.69,UPI,1
O000343,2024-04-23 13:43:38,2739.37,Card,1
O000344,2024-11-14 08:38:21,3002.2,COD,1
O000345,2024-04-22 21:33:07,3070.69,COD,1
O000346,2025-02-04 05:38:53,3621.58,COD,1
O000347,2024-11-13 11:25:18,4935.91,UPI,1
O000348,2025-06-19 16:11:13,854.07,UPI,1
O000349,2025-01-03 17:00:31,5640.56,COD,1
O000350,2025-05-18 19:35:55,2168.19,UPI,1
O000351,2024-11-22 15:27:48,1757.29,COD,0
O000352,2025-04-21 22:22:54,3679.18,COD,1
O000353,2024-12-02 15:03:15,5658.05,UPI,1
O000354,2025-06-04 13:08:28,3853.16,COD,1
O000355,2024-08-31 23:26:03,851.13,UPI,1
O000356,2024-06-24 12:36:10,5220.36,UPI,1
O000357,2025-05-09 05:06:08,3854.88,COD,1
O000358,2024-03-20 16:55:21,3503.46,COD,1
O000359,2024-07-01 19:09:16,8350.85,UPI,1
O000360,2024-08-19 03:25:50,3340.96,UPI,1
O000361,2024-03-28 14:05:37,2792.88,COD,1
O000362,2025-04-22 04:49:51,4720.77,UPI,1
O000363,2025-07-30 12:44:22,2155.49,Card,1
O000364,2024-10-20 16:36:57,2854.6,NetBanking,1
O000365,2024-12-28 14:08:24,5009.01,UPI,1
O000366,2024-01-13 20:17:19,6204.9,NetBanking,1
O000367,2025-07-04 11:42:08,3741.18,UPI,1
O000368,2024-11-02 11:52:06,1620.38,COD,1
O000369,2024-12-10 04:35:54,8769.22,UPI,1
O000370,2024-12-16 20:07:23,4360.34,UPI,1
O000371,2024-10-27 20:28:52,4753.43,NetBanking,1
O000372,2024-08-15 22:11:12,2229.96,COD,1
O000373,2024-01-17 21:13:19,2402.03,COD,1
O000374,2025-04-26 11:33:43,2792.88,UPI,1
O000375,2024-03-18 10:31:56,2292.57,Card,1
O000376,2025-04-05 15:45:18,2240.67,UPI,1
O000377,2025-06-19 07:22:19,3464.1,UPI,1
O000378,2024-10-15 22:05:52,9337.99,UPI,1
O000379,2024-03-27 20:32:48,4189.88,Card,1
O000380,2024-05-10 16:52:30,692.22,UPI,1
O000381,2024-08-10 19:11:57,9070.2,UPI,0
O000382,2024-10-22 01:07:35,5733.04,COD,1
O000383,2024-10-21 16:04:03,2188.33,Wallet,1
O000384,2024-03-18 13:33:18,2601.82,UPI,1
O000385,2024-02-18 22:26:27,4266.22,COD,1
O000386,2025-07-23 20:35:21,3116.38,UPI,1
O000387,2025-03-13 19:05:46,3385.28,COD,1
O000388,2024-03-23 10:52:17,2736.56,COD,1
O000389,2024-01-29 10:59:39,1228.73,COD,1
O000390,2025-04-13 16:07:01,4549.39,COD,1
O000391,2024-11-27 10:56:15,6191.22,UPI,1
O000392,2024-11-08 03:42:15,1108.39,NetBanking,1
O000393,2024-07-18 23:22:14,2639.11,COD,1
O000394,2024-05-04 06:55:50,3877.13,UPI,1
O000395,2024-05-10 00:32:50,1829.67,UPI,1
O000396,2024-03-31 01:52:11,1009.27,Wallet,1
O000397,2024-09-13 20:11:21,11495.81,COD,1
O000398,2024-02-17 12:28:46,2737.85,UPI,1
O000399,2024-12-08 20:17:39,670.33,Card,1
O000400,2024-07-16 13:34:08,3491.74,UPI,0
O000401,2025-01-18 17:13:24,2592.72,COD,1
O000402,2024-03-20 22:39:32,2248.27,COD,1
O000403,2025-01-09 14:08:32,4435.73,Card,1
O000404,2025-06-18 07:03:46,2792.89,UPI,0
O000405,2024-08-26 12:45:13,5743.28,COD,1
O000406,2024-09-21 22:35:34,4026.09,COD,1
O000407,2025-05-09 15:15:42,14429.72,UPI,1
O000408,2024-02-17 17:13:36,3647.38,Card,1
O000409,2024-10-07 23:51:03,4697.36,Wallet,1
O000410,2024-08-26 06:38:27,517.04,Wallet,1
O000411,2024-02-05 18:18:00,4464.6,Card,1
O000412,2025-04-12 01:04:58,4147.98,COD,1
O000413,2025-01-15 23:02:18,4400.49,COD,1
O000414,2024-05-12 17:08:05,1756.45,UPI,1
O000415,2024-10-15 07:20:16,3988.48,COD,1
O000416,2024-02-13 23:26:09,1448.48,COD,1
O000417,2025-07-11 19:56:50,3771.66,COD,1
O000418,2024-07-27 22:16:38,5117.56,COD,1
O000419,2025-07-13 01:37:31,1149.36,COD,1
O000420,2024-01-22 19:06:56,3347.84,Card,1
O000421,2025-01-07 00:51:36,5822.56,COD,1
O000422,2025-04-26 07:58:09,3173.79,UPI,1
O000423,2024-06-03 06:34:15,2097.38,COD,1
O000424,2024-06-09 23:56:26,1724.7,COD,1
O000425,2025-04-13 13:21:06,3399.55,UPI,0
O000426,2024-10-29 00:14:16,1666.39,Card,1
O000427,2025-02-06 12:09:42,1870.67,UPI,1
O000428,2024-03-24 02:35:26,5995.13,COD,1
O000429,2024-02-17 11:32:25,7630.76,Card,1
O000430,2024-12-20 17:17:38,3920.54,COD,1
O000431,2024-05-22 00:48:14,1369.17,COD,1
O000432,2025-01-01 13:51:16,3966.95,Card,1
O000433,2024-04-16 11:59:16,1493.48,Wallet,1
O000434,2025-06-22 05:24:09,3411.71,Card,1
O000435,2024-09-06 14:33:08,1946.25,COD,1
O000436,2024-11-09 02:25:31,3115.09,COD,1
O000437,2024-12-18 03:43:40,8187.24,COD,1
O000438,2024-09-14 19:42:48,373.36,UPI,1
O000439,2025-07-04 19:31:52,7876.16,Wallet,1
O000440,2025-06-25 05:11:22,410.26,Card,1
O000441,2024-09-10 15:53:59,4674.99,COD,0
O000442,2025-05-23 03:11:05,2373.0,UPI,1
O000443,2025-05-11 12:27:35,1579.9,UPI,1
O000444,2025-07-26 12:46:06,1460.28,UPI,1
O000445,2025-02-04 16:55:08,3563.96,COD,0
O000446,2025-07-12 09:35:38,651.94,UPI,1
O000447,2025-02-09 11:30:15,11545.62,Card,1
O000448,2025-06-18 00:44:33,1724.42,Card,1
O000449,2024-10-24 00:42:30,1605.29,UPI,1
O000450,2025-02-19 02:00:56,7045.03,Wallet,1
O000451,2024-06-15 12:43:46,7038.21,COD,1
O000452,2025-02-04 13:24:36,4767.36,UPI,1
O000453,2025-03-17 08:14:48,1148.65,Card,1
O000454,2024-04-04 05:07:50,5865.74,UPI,1
O000455,2025-04-02 23:58:23,4309.48,NetBanking,1
O000456,2024-09-30 03:39:41,265.45,COD,1
O000457,2024-11-04 02:04:33,2053.26,COD,1
O000458,2025-06-22 01:27:16,6454.58,NetBanking,1
O000459,2024-03-07 20:00:20,866.2,COD,1
O000460,2025-05-17 16:34:16,539.86,NetBanking,1
O000461,2025-05-11 21:11:28,3670.36,COD,1
O000462,2024-05-31 05:39:15,4966.31,Card,1
O000463,2024-11-28 00:17:07,5656.29,COD,1
O000464,2025-05-05 21:21:52,2356.52,UPI,1
O000465,2025-06-16 21:28:22,3295.84,COD,1
O000466,2025-03-23 10:46:57,4407.37,COD,1
O000467,2024-09-09 19:24:28,3851.17,Wallet,1
O000468,2024-02-03 07:09:19,6093.43,NetBanking,1
O000469,2024-11-11 03:19:04,986.91,COD,1
O000470,2025-05-08 16:13:48,9955.38,NetBanking,1
O000471,2025-05-12 01:07:08,1312.53,UPI,1
O000472,2025-07-11 00:36:29,4083.75,UPI,1
O000473,2025-07-22 23:48:16,3920.07,COD,1
O000474,2025-07-13 12:20:56,3943.53,COD,1
O000475,2025-07-19 04:37:45,7663.16,UPI,1
O000476,2024-06-08 22:56:47,5684.11,Wallet,1
O000477,2024-10-31 01:58:32,3988.37,COD,1
O000478,2025-02-28 13:50:07,5296.08,UPI,1
O000479,2025-04-24 20:59:10,6929.11,COD,1
O000480,2024-11-15 06:46:25,7562.16,UPI,1
O000481,2024-07-09 07:05:03,1710.4,UPI,1
O000482,2025-01-25 18:03:53,2312.05,Wallet,1
O000483,2024-11-23 12:54:48,6025.94,UPI,1
O000484,2024-12-03 14:06:09,6956.73,COD,1
O000485,2024-01-03 06:14:57,4285.56,COD,1
O000486,2024-03-08 15:53:00,656.31,Card,1
O000487,2024-03-25 03:22:36,4279.08,COD,1
O000488,2024-02-29 04:55:08,4599.08,UPI,1
O000489,2024-02-03 23:15:35,5845.16,Card,1
O000490,2025-06-07 23:48:13,4105.7,COD,0
O000491,2025-07-12 17:43:42,2517.18,UPI,1
O000492,2024-01-26 11:32:06,3027.36,UPI,1
O000493,2024-12-20 19:45:34,589.84,Card,1
O000494,2024-10-23 10:04:38,4817.16,COD,0
O000495,2024-01-15 22:32:53,5520.39,Card,1
O000496,2025-05-11 11:03:41,3108.81,UPI,1
O000497,2025-06-15 08:09:44,6264.17,COD,1
O000498,2024-06-22 00:07:45,3694.19,UPI,1
O000499,2024-03-27 07:45:11,2534.03,COD,1
O000500,2024-09-17 08:51:06,1097.04,NetBanking,1
O000501,2024-08-30 14:32:05,3497.1,UPI,1
O000502,2025-01-22 10:42:22,3300.36,UPI,1
O000503,2024-07-29 22:08:45,4627.94,COD,1
O000504,2025-05-26 15:16:03,6462.17,UPI,1
O000505,2025-03-23 01:39:17,2305.93,COD,1
